Cell,Type,Value
E18_3_C47,Alveolar bipotent progenitor(Lung),0.332506703743589
E18_3_C47,Epithelial cell_Sftpc high(Fetal_Lung),0.309167921834054
E18_3_C47,Clara Cell(Lung),0.308480537613758
E18_3_C47,Ciliated cell(Lung),0.303844088416377
E18_3_C47,Epithelial Cells(Lung-Mesenchyme),0.286375311873383
E18_3_C47,Dividing cells(Lung),0.274684087273981
E18_3_C47,Stromal cell_Inmt high(Lung),0.264749878074481
E18_3_C47,Stromal cell_Inmt high(Lung-Mesenchyme),0.226754308914728
E18_3_C47,Stromal cell_Aspn high(Lung-Mesenchyme),0.212327359072408
E18_3_C47,Ependymocytes(Arc-Me),0.155732003598774
E18_3_C59,AT1 Cell(Lung),0.468804825420688
E18_3_C59,Alveolar bipotent progenitor(Lung),0.363429742992512
E18_3_C59,AT2 Cell(Lung),0.356000068736194
E18_3_C59,Epithelial cell_Sftpc high(Fetal_Lung),0.315954334989432
E18_3_C59,Clara Cell(Lung),0.310236124358477
E18_3_C59,Ciliated cell(Lung),0.299573919810722
E18_3_C59,Epithelial Cells(Lung-Mesenchyme),0.289717798144377
E18_3_C59,Dividing cells(Lung),0.272472749843213
E18_3_C59,Stromal cell_Inmt high(Lung),0.24722966656793
E18_3_C59,Stromal cell_Inmt high(Lung-Mesenchyme),0.22942384483627
E18_3_C59,Stromal cell_Aspn high(Lung-Mesenchyme),0.220523015085993
E18_3_C59,Ependymocytes(Arc-Me),0.168173141416453
E18_3_C37,AT1 Cell(Lung),0.464867447702216
E18_3_C37,AT2 Cell(Lung),0.362004559080979
E18_3_C37,Alveolar bipotent progenitor(Lung),0.356393058367293
E18_3_C37,Clara Cell(Lung),0.309830475424668
